City Name,State Code,State,Total Population,Male Population,Female Population,Literates,Male Literates,Female Literates,Sex Ratio,Child Sex Ratio,Literacy Rate,Male Literacy Rate,Female Literacy Rate,Graduates,Male Graduates,Female Graduates
Madhyamgram ,19,WEST BENGAL,198964,100611,98353,165630,86682,78948,978,963,90.16,93.37,86.88,27584,16352,11232
Madurai ,33,TAMIL NADU,1016885,509313,507572,845990,440419,405571,997,956,91.42,95.22,87.62,129719,73889,55830
Mahbubnagar ,28,ANDHRA PRADESH,157902,79423,78479,119626,64187,55439,988,917,84.77,90.84,78.69,30286,18972,11314
Mahesana ,24,GUJARAT,184133,97212,86921,151773,83642,68131,894,762,90.99,95.73,85.78,27191,16287,10904
Maheshtala ,19,WEST BENGAL,449423,231044,218379,335440,179762,155678,945,957,82.63,86.08,78.98,33247,19939,13308
Mainpuri ,9,UTTAR PRADESH,117327,61481,55846,88548,48215,40333,908,849,85.95,89.71,81.84,18745,10865,7880
Malegaon ,27,MAHARASHTRA,471006,239243,231763,343611,181084,162527,969,941,86.66,90.16,83.07,22830,13345,9485
Malerkotla ,3,PUNJAB,135330,71401,63929,83606,47164,36442,895,950,70.25,74.82,65.1,9767,5227,4540
Mandoli ,7,NCT OF DELHI,120345,64123,56222,84053,48535,35518,877,897,80.72,87.33,73.15,7274,4596,2678
Mandsaur ,23,MADHYA PRADESH,141468,72370,69098,109135,59436,49699,955,898,86.79,92.74,80.6,18225,10920,7305
Mandya ,29,KARNATAKA,137735,68748,68987,105938,55442,50496,1003,944,85.11,89.54,80.74,16203,9858,6345
Mangalore ,29,KARNATAKA,484785,240651,244134,416863,211482,205381,1014,930,94.03,96.49,91.63,78097,39002,39095
Mango ,20,JHARKHAND,224002,116243,107759,169548,92914,76634,927,913,86.62,91.56,81.29,28682,17145,11537
Mathura ,9,UTTAR PRADESH,349336,186586,162750,235976,134597,101379,872,859,76.75,82.05,70.7,44357,26068,18289
Maunath Bhanjan ,9,UTTAR PRADESH,279060,143273,135787,187382,102802,84580,948,952,78.6,83.95,72.94,20775,12297,8478
Medinipur ,19,WEST BENGAL,169127,85362,83765,139303,72948,66355,981,979,90.01,93.4,86.56,28498,17243,11255
Meerut ,9,UTTAR PRADESH,1309023,689567,619456,889729,499928,389801,898,851,77.7,83.18,71.64,174025,95192,78833
Mira Bhayander ,27,MAHARASHTRA,814655,434330,380325,684165,375671,308494,876,885,93.67,96.41,90.53,118506,65979,52527
Miryalaguda ,28,ANDHRA PRADESH,103855,52048,51807,76693,41697,34996,995,948,82.09,89.3,74.89,13377,8688,4689
Mirzapur-cum-Vindhyachal ,9,UTTAR PRADESH,233691,125003,108688,161128,92423,68705,869,879,78.25,83.85,71.8,25846,16225,9621
Modinagar ,9,UTTAR PRADESH,130161,69179,60982,104383,58282,46101,882,778,90,95.23,84.16,24695,13484,11211
Moga ,3,PUNJAB,150432,79760,70672,110764,60698,50066,886,857,82.09,85,78.82,17762,8356,9406
Moradabad ,9,UTTAR PRADESH,889810,466432,423378,550637,302447,248190,908,903,70.65,74.05,66.9,91999,48955,43044
Morena ,23,MADHYA PRADESH,200506,108405,92101,139903,83531,56372,850,807,80.38,89.08,70.22,21351,14504,6847
Morvi ,24,GUJARAT,188278,97860,90418,140779,77826,62953,924,862,84.59,90.37,78.4,15195,8441,6754
Motihari ,10,BIHAR,125183,67438,57745,94926,52904,42022,856,836,87.2,90.36,83.52,19550,13634,5916
Mughalsarai ,9,UTTAR PRADESH,110110,57925,52185,79611,45305,34306,901,897,82.83,89.63,75.29,11758,7244,4514
Muktsar ,3,PUNJAB,117085,62005,55080,79979,45007,34972,888,831,77.31,82.5,71.53,11785,5931,5854
Munger ,10,BIHAR,213101,113173,99928,150435,84571,65864,883,910,81.83,86.43,76.59,19988,13825,6163
Murwara ,23,MADHYA PRADESH,221875,115463,106412,171966,94777,77189,922,892,87.42,92.77,81.64,27011,15456,11555
Mustafabad ,7,NCT OF DELHI,127012,66754,60258,81915,47714,34201,903,903,76.1,84.33,66.98,4462,2950,1512
Muzaffarnagar ,9,UTTAR PRADESH,392451,206902,185549,278405,154902,123503,897,844,80.99,85.82,75.65,58965,31729,27236
